,상호명,별점,주소,카테고리,이미지,거리
0,샤브올데이 서울화곡점,0.0,서울 강서구 화곡로 110 2층,['샤브샤브'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250328_200%2F1743143324917lUqDB_PNG%2F0.png,691
1,만배아리랑보쌈 본점,0.0,서울 강서구 화곡로18길 24 강서뉴타워 1층 만배아리랑,"['족발', '보쌈']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241001_115%2F1727781948278RbgVr_JPEG%2FIMG_7029.jpeg,643
2,화곡영양족발,4.43,서울 강서구 초록마을로2길 48 1층 화곡영양족발,"['족발', '보쌈']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231212_8%2F1702371032100CecwX_JPEG%2FDSC03840.jpg,222
3,일도커피,0.0,서울 강서구 강서로 210 101호 일도커피,['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250429_113%2F17459162806617c0qN_JPEG%2FKakaoTalk_20250428_165140295_02.jpg,421
4,호랭이반점 화곡역점,0.0,서울 강서구 화곡로 154 1층 102호,['중식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250214_11%2F1739511669668qg6JS_JPEG%2FSM_01360.jpg,253
5,온기,0.0,서울 강서구 화곡로 194-26 1층 103호,['요리주점'],,121
6,목구멍 화곡점,0.0,서울 강서구 화곡로 134 1층,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231208_157%2F17020020919910r9vH_JPEG%2F1.jpg,450
7,버터앤쉘터 까치산역점,0.0,서울 강서구 강서로17길 6,"['카페', '디저트']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250513_124%2F1747126949912N4ecM_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD-1.png,1045
8,타르데마베이커리 우장산,0.0,서울 강서구 강서로46길 9,['베이커리'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230613_177%2F1686617047817nrIYc_JPEG%2FKakaoTalk_20230613_094258315_02.jpg,1028
9,정육식당 한우포차 화곡역점,4.5,서울 강서구 화곡로 195,"['육류', '고기요리']",,154
10,목동분식,4.37,서울 강서구 강서로45라길 36,['종합분식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200310_276%2F1583807833055YNu0J_JPEG%2FknxSZ_sT9-e0ct-LTqAK3nAh.jpg,987
11,원조동글갈비,4.26,서울 강서구 화곡로 194-15,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170928_118%2F1506587382784NutJ2_JPEG%2FALYU6ntNrqLSMdNpEchuYeBC.jpg,214
12,미카도스시 까치산역점,0.0,서울 강서구 강서로 58,"['초밥', '롤']",,1134
13,꽃향기 샤브샤브&뷔페,0.0,서울 강서구 화곡로 142 3층,['샤브샤브'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250219_225%2F1739931706724UUbGM_JPEG%2F1000006109.jpg,377
14,베이징,4.38,서울 강서구 화곡로 118,['중식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220820_22%2F1660972229546ozmxQ_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_%25B8%25ED%25C0%25E5%25C3%25DF%25C3%25B5_part_1_%2528%25B0%25A1%25B0%25DD%25C0%25CE%25BB%25F3%2529.jpg,619
15,추천해꼬막짬뽕,0.0,서울 강서구 강서로 158 1층,['중식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240318_177%2F1710746011419DmAWQ_JPEG%2FKakaoTalk_20240318_160732374.jpg,135
16,회뜨는중 강서구청점,0.0,서울 강서구 공항대로46길 90 1층,['생선회'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230928_65%2F1695891361896pl4y7_JPEG%2FKakaoTalk_20230907_011051495.jpg,1396
