상호명,별점,주소,카테고리
호랭이반점 화곡역점,0,서울 강서구 화곡로 154 1층 (우)07715,['중국요리']
만배아리랑보쌈 본점,4.1,서울 강서구 등촌로51길 17 1층 (우)07667,"['족발,보쌈']"
까치산 냉면&김치찌개 본점,0,서울 양천구 월정로 21 해태아파트 101동 1층 106호 (우)08029,[]
타르데마베이커리 우장산,4.5,서울 강서구 강서로46길 9 1층 1호 (우)07680,[]
1982논현황소곱창 본점,4.0,서울 강서구 초록마을로 8 1층 (우)07721,"['곱창,막창']"
리연탄 강서화곡본점,5.0,서울 강서구 강서로39길 13 1층 (우)07707,[]
화곡영양족발,0,서울 강남구 압구정로 165 지하1층 (우)06001,"['족발,보쌈']"
제로밥상 화곡점,4.2,서울 강서구 화곡로 293 한울에이치배리움더하이클래스 1층 103호 (우)07687,[]
화곡정육식당,4.3,서울 강서구 곰달래로 246 (우)07785,"['육류,고기']"
다이닝갈비 화곡점,0,서울 강서구 강서로33길 12 2층 (우)07713,[]
목동분식,2.8,서울 양천구 목동동로 437 향도드림네스트 1층 110호 (우)07984,['떡볶이']
맛거리,3.0,서울 광진구 아차산로33길 40 1층 (우)05017,['편의점']
이현우스시,4.5,서울 강서구 강서로33길 26 1층 (우)07713,"['초밥,롤']"
꽃향기 샤브샤브&뷔페,0,서울 강서구 화곡로 142 3층,['샤브샤브']
스타벅스 까치산역점,3.2,서울 강서구 강서로13길 3 (우)07774,['커피전문점']
화곡맛있고등어,4.1,서울 강서구 화곡로 138 1층 (우)07715,"['해물,생선']"
양촌리 화곡점,0,서울 강서구 화곡로 109 1-2층 (우)07711,[]
목구멍 화곡점,4.3,서울 강서구 화곡로 134 백합빌딩 1층 (우)07715,"['육류,고기']"
정육식당 한우포차 화곡역점,5.0,서울 강서구 화곡로 195 1층 (우)07700,"['육류,고기']"
맥켄지커피 까치산역본점,4.0,서울 강서구 강서로 47-6 1층 (우)07774,['카페']
계원집,5.0,서울 강서구 초록마을로4길 2 1층 (우)07721,[]
추천해꼬막짬뽕,4.5,서울 마포구 매봉산로 75 1층 (우)03926,['중국요리']
베이징,0,서울 중구 소공로 63 10층 (우)04530,['중국요리']
고기싸롱 강서구청점,0,서울 강서구 화곡로 230 에이탑오피스텔 1층 101호 (우)07679,[]
소담촌 화곡점,2.5,서울 강서구 화곡로 117 1층 (우)07711,['샤브샤브']
충북식당,0,서울 서대문구 신촌로33길 5 (우)03774,['한식']
뎁트 커피,4.0,서울 강서구 화곡로53길 13 제일빌딩 1층 (우)07687,['카페']
우장산소갈비 화곡본점,4.6,서울 강서구 화곡로27길 14 1층 (우)07702,[]
브라운씨 1호점,2.8,서울 강서구 강서로47가길 20-10 1층 (우)07639,['카페']
원조동글갈비,2.5,서울 강서구 화곡로 194-15 1층 (우)07721,['갈비']
다채우렁돌솥쌈밥,3.9,서울 강서구 화곡로20길 12 (우)07718,['쌈밥']
미카도스시 까치산역점,2.6,서울 강서구 강서로 58 1층 (우)07756,"['초밥,롤']"
취링취링 화곡역 본점,4.1,서울 강서구 화곡로 127 1층 (우)07712,[]
롤링파스타 화곡역점,3.6,서울 강서구 화곡로 166 2층 (우)07715,['이탈리안']
금수돈가,5.0,서울 강서구 까치산로 86 M노블레스 102동 1층 103호 (우)07674,"['돈까스,우동']"
브라운씨 2호점,3.3,서울 강서구 강서로47가길 33 덕산빌딩 1층 104호 (우)07639,['디저트카페']
스타벅스 화곡동점,3.4,서울 강서구 화곡로 142 (우)07715,['커피전문점']
맥도날드 우장산DT점,2.2,서울 강서구 강서로 216 (우)07698,['패스트푸드']
이디야 화곡로점,4.0,서울 강서구 화곡로 133 2층 (우)07712,['커피전문점']
범생이포차 신월본점,3.8,서울 양천구 화곡로13길 7 1층 (우)07903,['실내포장마차']
